बारमा तेस्रो पटक भेट भएपछि उसले मलाई आफ्नो घर बिशालनगरमा निम्त्यायो।	After our third meeting in the bar, he invited me to his home in Vishainagar.
नीलो फूल र एउटी स्वास्नीमान्छे मेरो आँखाबाट ओझेल भइसकेका थिए।	The blue flowers and the woman had already disappeared from my sight.
हामी मूलढोकामा आइपुग्यौं।	We reached the main door.
"यो तल्लो तला पनि बस्न लायकको छ, तर यहाँ कोही बस्दैन, खाली छ।"	"The ground floor is also livable, but no one stays here. It’s empty," he said.
हामी भन्याङ उक्लन लागिसकेका थियौं।	We had started climbing the stairs.
दोस्रो तल्लाको मटानको भयालनेर मैले अर्की स्वास्नीमान्छे देखें सोह वर्षकी।	At the second-floor landing, I saw another girl, about sixteen years old.
स्वास्नीमान्छेको उमेर पत्तो लगाउनु मेरो निम्ति कुनै समस्या होइन।	Guessing a woman’s age is not difficult for me.
क केही अँध्यारो रोगनको तर आकर्षक टाइट कुर्तासुरुवालमा थिई।	She was dark-skinned but attractive in her tight outfit.
केही हतारिँदै ओर्लेर गई।	She hurried down the stairs.
मैले आँखा मात्र घुमाएर उसको आकर्षक नितम्बलाई हेरिरहँ।	I turned my eyes slightly and kept watching her attractive hips.
यस स्थितिलाई आँखाभरि टिप्न नपाउँदै हामी दोस्रो तलाको मटान पार गरेर तेस्रो तलामा आइपुग्यौं।	Before I could fully take in the scene, we passed the second-floor landing and reached the third floor.
मेरो आँखाबाट एउटा भ्याल र एउटा आकर्षक नितम्ब ओझेल भइसकेको थियो।	The window and the attractive hips had already disappeared from my sight.
हामी छेउको ढोका खोलेर एउटा सुर्साज्जत ठूलो कोठाभित्र पस्यौं।	We opened the nearby door and entered a large, well-furnished room.
केही ठूलठूला कोचहरू, केही ठूलठूला तस्वीरहरू, वीचमा सिङ्गमर्मरको गोलो टेबुलमाथि भ्याम्म पारेर शिरीषको फूल एउटा भाँडामा सजाइएको थियो।	There were big couches, large pictures, and in the center, a round marble table with a bunch of mimosa flowers neatly arranged in a vase.
फूलदान देख्नासाथ मैले झट्ट एक टुक्रामाथि हिँडिरहेको दुईवटा खुट्टाको सम्झना गरेँ, यो अवश्य तिनै हातहरूले भरिएको हुनुपर्छ।	A glance at the vase reminded me immediately of a pair of legs walking on a patch of lawn. This vase must certainly have been arranged by those hands.
कोठामा एक रमाइलो व्याप्त थियो।	A pleasant atmosphere filled the room.
क आफ्नै सिलसिलामा भन्दै, "हामी जाहान थोरै छौं, चुरुट लिनुस्। मेरो मुआ हुनुहुन्छ, बुबाको स्वर्गै भएको धेरै भइसक्यो। मुआ पनि मधेश जानुभएको छ, घरमा अहिले हामी चार जना मात्र छौं नोकरचाकरबाहेक।"	He went on in the same way, "We have a small family. Please have a cigarette. My mother is living. My father died a long time ago. And my mother has gone to the Terai. So there are only four of us in the house now, not counting the servants."
मैले लगाएँ एउटा शिरीषको फूल, एउटा मटानको भ्याल, एउटा यिनै आफैँ र अर्को?	I guessed: one, the mimosa flowers, one, the hall window, one, himself. And the other?
अर्को को? यिनी त अविवाहित हुन्।	Who was the other one, since he was not married?
चुरुटको धूवाँमा उत्सुकता रिंगिँदै मेरो बरिपरि तथा उसको बरिपरि घुमिरहेको थियो।	Mingling with the smoke from our cigarettes, my curiosity hovered in the air around us.
भ्यालबाट उसको पर्खालको छेउछेउमा लगाइएका शिरीषका नीला-नीला फूलहरू हावामा हल्लिरहेका थिए र यिनैको फेद-फेदमा अरू कोही शायद।	Outside the window, the blue mimosa flowers near the wall were moving in the breeze. Maybe below them, there was someone else.
क भन्दै थियो "मुआबाहेक मेरा तीन जना बहिनी छन्।"	He continued, "Besides my mother, there are three younger sisters."
उत्सुकताको एउटा लहर समाप्त भयो, मैले कानको नसालाई केही तड्कारो राखेँ।	One strand of curiosity came to an end. I listened attentively.
"अघिको फूलबारीमा उता गइरहेकी थिई, क मेरी बहिनी, उसको नाउँ 'मुजुरा' हो।"	"The girl walking there in the garden is the eldest. Her name is Mujura."
"मुजुरा," मैले मतमनमा दोहोच्याएँ, मान्छेअनुसारको नाउँ पनि मिठो।	"Mujura," I repeated to myself. Her name is as sweet as she is.
"उसलाई अक्षर-ज्ञान दिइएको छ, घरमै बस्छे, विवाह भएको छैन।"	"She has had her schooling and lives at home. She is not married."
मैले एउटा सुखको अनुभव गरेँ।	I felt happy.
क भन्दै थियो, "मेरी माहिली बहिनी!"	He began, "My second sister"
"मेरो नाउँ सकमवरी।" बुलेट पड्केको जस्तो आबाजसाथ ढोकामा अर्की स्वास्नीमान्छे देखापरी चौबीस वर्षकी।	"My name is Sakambari." Her voice burst in on us like a bullet, and there she was in the doorway, a woman of about twenty-four.
मैले तर्सेर ढोकामा हेरेँ।	Startled, I turned toward the door.
पाँच फूट तीन इन्च जति अग्ली, सेती, बेपत्ताको दुब्लो शरीरमा अस्वाभाविक उठेको छाती, कोप्चो तर कालो र चम्किलो आँखामा राल्डगोल्डको फ्रेम भएको चश्मा लगाएकी।	She was about five-foot-three, fair, with very large breasts on an extremely thin body, and deep-set, sparkling black eyes behind gold-rimmed glasses.
पुरानो हिब्रू सिपाहीहरूको जस्तो एक इन्च डेढ इन्चको हिसाबले छाँटेर मुडुल्याएको बालभित्र सान्‌ सेतो कानमा कालो ढुङ्गाको टप लगाएकी, भित्र पसी।	Her hair was cut very close to her head, in the style of ancient Hebrew soldiers, and she wore black stone earrings in her small white ears as she entered the room.
स्थिति जाम पप्यो।	The atmosphere froze.
नाउँमा, व्यवहारमा, रूप-रक्गमा पालैपिच्छे हाँस्न पर्ने मेरो खित्कामा पनि जाम पत्यो।	I wanted to laugh in turn at her name, her behavior, her looks, but even my laughter froze.
जम्मा मिलाएर म हाँस्न सकिनँ। केही पनि गर्न सकिनँ।	In that atmosphere, I could not laugh at all. I could not do anything.
मेरो साथीले लाज अनुभव गरेको मैले प्रस्ट देखिसकेको थिएँ।	I could clearly see that my friend was embarrassed.
केही रातो भएर लाज पचाउँदै उसले भन्यो, "यो मेरी बहिनी आई.ए. मा फस्ट डिभिजनमा आई र यता शारीरिक कमजोरीले गर्दा घरमा बसेकी छ।"	Blushing slightly, he tried to cover his embarrassment by saying, "This is my middle sister. She passed her I.A. exams in the first division, but now she stays at home because of her health."
उसले नाउँ बताइदिएन र मैले लगत्तै बिर्सि पनि हालें।	He did not mention her name again, and I forgot it immediately.
'नमस्ते' मैले टाउको उठाएर हेर्दा क आफ्ना भझीना सेता औंलाहरूले अभिवादन बनाएर।	"Namaste," she said. When I looked up, I saw her slender white fingers joined in greeting.
मलाई ठीक चुल्बुले बिरालाका जस्ता जिस्क्याउने आँखाहरूले हेरिरहेकी थिई।	She looked at me with mischievous, teasing eyes, just like a playful cat’s.
सिङ्गमरको टेबुलमाथि राखिएको क्याप्स्टन चुरुटको वट्टाबाट दुईवटा चुरुट झिकेर क लमकलमक ढोकातिर पाइला चाल्दै अघि बढ्यो।	Taking two cigarettes from the package lying on the marble table, she strode toward the door.
स्थिति अफ डेकानामा आइपुगेको थिएन।	The atmosphere had not yet returned to normal.
मेरो साथीले शायद सबै आकस्मिकता-हरूलाई ढाकछोप गर्नैको उद्देश्यले क ढोकामा पुग्दा पछिबाट बोलायो, "बरी! चिया लिएर आउनू।"	 My friend, perhaps in an attempt to cover up the whole interruption, called after her when she reached the door, "Bari, bring us some tea."
कुन्नि के बरी, कस्तो बरी, परिचयको क्रमश: आइरहेको सिलसिलामा बल न क।	Who was this Bari? What was Bari who came like a landslide, spoiling the orderly course of the introductions?
उसलाई सम्झिन अब छुट्टै समय चाहिन्छ, यहाँ साथीसँग बिताइरहेको समयले पुग्दैन।	I needed more time to think about her; here with my friend there was not enough time.
उसलाई सम्झिन अब एउटा कोठा चाहिन्छ, एउटा एकान्त चाहिन्छ।	To think about her, I needed a room, solitude.
शिरीषको फूल स्मृतिमा त्यसै पुष्टिएर गयो, मटानको भ्याल अब उसको परिचय सोध्नु या भन्नुको कुनै तात्पर्य देखिएन।	My memory of the mimosa flowers was scattered. Now, there was no reason to ask about the girl at the hall window.
क अवश्य थिनकी कान्छी बहिनी हुनुपर्छ र त्यस्तै कुनै बेपत्ताको नाउँ राखेकी होली।	She must be the youngest sister, probably with some unlikely name.
उसको परिचय पनि त्यो दिन अँध्यारैमा पत्यो, ठीक उसको रोगनजस्तै अँध्यारो रङ्गमा।	Her identity would have to remain dark that day, like the color of her skin.
मेरो साथी अझ के-के भन्थ्यो कुन्नि, तर अलमलिरहेको जस्तो देखिन्थ्यो।	My friend went on talking, but he seemed confused.
स्थितिलाई पचाएर पत्नि शायद उसलाई पचाएँजस्तो लागेन होला।	Though he tried to smooth things over, he probably felt he was not succeeding.
क छिटो-छिटो चुरुट तान्दथ्यो, घरी-घरी ढोकातर्फ हेर्थ्यो।	He took frequent puffs on his cigarette and kept looking toward the door.
म खोक्ने बहानाले उठेर भयालसम्म गएँ। त्यसपछि त्यहाँ न बरी आई न अरू कोही।	 Pretending a cough, I got up and went to the window. For a while, no one came, not Bari or anyone else.
नोकरको हात चिया आयो।	A servant brought tea.
हामी धेरै बेरसम्म घरको विषयमा, नोकरीको विषयमा कुरा गरिरह्यौं।	For a long time, we talked about domestic matters and government service.
विदा भएर फर्कदा बैठक कोठादेखि लिएर क्याम्पाको निस्कने ढोकासम्म कोही थिएन, एकदम चकमन्न थियो।	When, after taking leave, I went out, there was no one in sight from the room to the main gate. There was complete silence.
जीन खुकुरी रमको पेगसँग साटासाट भएको हाम्रो परिचय र हाम्रो घनिष्ठतासाथै मैले उसलाई शिवराजजी भनेर बोलाउन थालेको थिएँ।	Our acquaintance grew among shots of gin and whiskey, and with our intimacy, I began to call him by his name, Shiva Raj.
शिवराज उसको नाम थियो। बाजेको पालादेखि आमापट्टिबाट बिग्रँदै आएको, ऊ क्षेत्री र गुरुङ्सेनीका ठिम्बर छोरो थियो।	His name was Shiva Raj. He was of mixed caste since his maternal grandmother’s time, and he was the son of a Chhetri father and Gurung mother.
क मभन्दा उमेरले कान्छो थियो, अनुभवले पनि।	He was younger than me in age and experience.
हाम्रो सन्तुलन खाली पेगको भराइ र रित्त्याइमा मात्र मिलेको थियो।	We were equally matched only in our ability to fill and drain the shot-glasses.
क मजस्तै पिउन सक्थ्यो।	He could drink as much as I could.
मेरो कुरा उसले धेरै चाख लिएर सुन्थ्यो।	He listened to my talk with great interest.
मप्रति क उत्सुक रहन्थ्यो र माया गरेको जस्तो देखाउँथ्यो।	He was very curious about me and seemed fond of me.
मप्रति उसको फर्साइलो र सत्य हुनुमा कुनै शंका थिएन।	I had no doubt that he was being frank and honest.
तर मैले, आफ्नो विषयमा सम्पूर्ण केही बताएको थिइनँ, र म उसप्रति सत्य छु कि छैन, त्यसमा ठूलो प्रश्नचिन्ह थियो।	But I had not told him everything about myself, and there was a very big question mark about whether I was being honest with him.
सत्य त मेरो कुनै नातेदारप्रति पनि छैन, र म आफैँप्रति पनि सत्य छैन।	In fact, I was not even honest with my family or myself.
उसले यत्ति मात्र थाहा पाएको थियो कि म चालीसभन्दा माथिको अविवाहित पूर्व सैनिक थिएँ, दोश्रो महायुद्धको घाइते, पहाडमा घर छ, र जब इच्छा लाग्छ सरकारी जागिर खान्छु र फुर्सद चाहिँदा छोडिदिन्छु।	All he knew was that I was over forty, a confirmed bachelor, that I was an ex-mercenary and a casualty of World War II, that my home was in the hills, and that I worked government jobs whenever I wanted and left them when I desired leisure.
म पैंतालीस पुग्न लागेको थिएँ, तर उसले त्यो थाहा पाएको थिएन किनभने म आफ्नो उमेरभन्दा जवान देखिन्थेँ।	I was almost forty-six, but he did not know that because I looked younger than my age.
एकपल्ट बारमा मैले उसलाई भनेको थिएँ कि म पल्टनमा भर्ना हुनुको कारण आंशिक रहर, आंशिक आमाबाबुको दबाब, र केही लडाकुको रगतले उम्लेर थियो।	Once in the bar, I told him that I had joined the army partly out of interest, partly due to parental pressure, and partly because my warrior blood had been aroused.
पछि मैले कुनै प्रकारको छालाको रोगका कारण पेन्सन खान लडाइँबाट छुटकारा पाएको थिएँ।	Later, because of some skin disease, perhaps scabies, I was discharged from the army and granted a pension.
अहिलेसम्म मेरो विवाह भएको छैन।	Up to now, I had not married.
यस कुरा गर्दा मेरो अनुहार बिग्रियो, तर रक्सीको प्रभावले उसले त्यस्तो केही देखेन।	As I said this, my expression changed, but under the influence of whiskey, he did not notice.
यत्ति मात्र थियो उसले मेरो विषयमा थाहा पाएको। हामी प्राय: आफ्नैभन्दा अरूको विषयमा बढी गफ गर्यौं।	That was all he was able to learn about me. We usually talked more about other people’s affairs than our own.
उसले मलाई आफ्नो घरमा निम्तो दिएपछि हामी झनै घनिष्ठ भयौं।	After he invited me to his house, we became more intimate.
यसको आधारमा मैले धेरै उसको घरको विषयमा अड्कल काटिसकेको थिएँ। उसले भनेका सामग्रीले नपुगेर, म उसको बारेमा धेरै बढाई-चढाई सोच्न थालेँ, कारण यो मेरो धेरै छोटो वानी हो।	On this basis, I made a lot of guesses about his domestic affairs. I was not satisfied with what he had told me, so I began to imagine all sorts of things, as this was a bad habit of mine.
त्यो रात मलाई निकै तातिएर बोल्न मन लाग्यो। धेरै गफ सिद्धिएपछि उसले मलाई सोध्यो, "यहाँ त लडाइँमा खप्पिस भएर आउनुभएको मान्छे, यहाँ यसै घुमिरहँदा पनि अल्छी लाग्दो हो!"	That night, I felt like talking, all fired up. After a lot of small talk, he asked, "You’re a man who's survived the war, don’t you feel restless just hanging around here?"
मैले आफ्नो गिलास स्वाट्टै पारेर भनेँ, "विशेष पल्टनमा मेरो जीवन्तको कुनै खास रेकर्ड छैन। सुबेदारसम्म भएको हुँ त्यो पनि भाग्यले घचेटेर, आफ्न् अफिसको काम अलिक छरितो हुन्थ्यो र मात्र। मान्छै एउटा पनि मारेको छैन।"	I drained my glass and replied, "There’s nothing special in my army record. I became a Subedar by sheer luck, only because I was efficient in office work. I haven’t killed anyone."
फेरि पनि मेरो अनुहार बिग्रियो, तर उसले थाहा पाएन।	Once again, my expression darkened, but he didn’t notice.
"जीवनलाई दुःखित भोग्नु मात्र जीवनको सार्थकता होइन शिवराजजी! सव सारहीन छन्। अहिले यो जीवन बाँचिरहेको छु, त्यो मेरो भोगाइको प्रतिक्रिया होइन, हो त?"	"Enduring suffering doesn’t make life meaningful, Shiva Raj. Everything is meaningless. The life I’m living now isn’t a reaction to my suffering, is it?"
भोग्दा-भोग्दै जीवन सिद्धिन्छ।" म हाँसेर फेरि भनें, "केही हराएर केही पाउनलाई मैले लडिनँ, पाउनलाई केही पाइनँ तर हराएको त अवश्य हो।"	"You suffer until life is over." I laughed and continued, "I didn’t fight to lose something in order to gain something. I didn’t get anything, but I definitely lost something."
मैले जानेर हाराएको होइन, आफैँ हरायो, मेरो के लाग्छ? जम्मामा रित्तिएको छु।	"I didn’t lose it knowingly, it slipped away on its own. What can I do? I’m empty."
उसले मेरो अनुहार हेरेर सोध्यो, "भाग्न खोजिरहनु भएको छैन त बोतलमा, गिलासमा?"	He looked at my face and asked, "Aren’t you running away into your bottles and glasses?"
"यो भगाइ होइन," मैले भनें, "लडाइँमा जहिले पनि रम खान पाइन्थ्यो। यो त बस छुट्न नसक्ने लत हो।"	"This isn’t running away," I said, "In the war, we always had rum to drink. This is just a habit I can’t break."
"अँ, ठूलठूला अफिसरहरू भने खूब प्लीज गर्छन्। रातभर क्यान्टिनमा रक्सी खाएर नाच्छन्। बिचरा सिपाहीहरूको दुःखलाई कसले बुझिदिन सक्छ?"	"Oh, the high-ranking officers, yes, they had their fun. Drinking whiskey all night in the canteen, dancing. But who cared about the poor soldiers? No one understood their pain."
"विशेष गरेर हाम्रा सिपाहीहरू, जसले बाबुबाजेको पालादेखि खुकुरी चलाउनुपर्छ। घरको सम्झना नआइदिए त राम्रो तर त्यो सम्भव कहाँ छ?"	"Especially our soldiers, who have to wield their khukuris just like their forefathers. It would be better if they didn’t think about home, but how can they not?"
"म अहिले लडाइँको कुरा गर्न चाहन्न शिवराजजी। लडाइँ भनेको अरू हामीजस्तै मान्छेहरूलाई काट्नु हो, बस्।"	"I don’t want to talk about the war anymore, Shiva Raj. War is just about cutting down men who are just like us, that’s all it is."
त्यसो पनि हुँदैन । मलाई युद्धको बिषयमा केही बोल्नु छैन 	That won’t work either. I don’t want to talk about the war.
शिवराजजी । युद्ध भनेको हामीले आफूजस्तै मानिसहरू मार्नु हो	Shivrajji, war means killing people just like us.
काटाकाट गर्नु त हो नि, बढी के हो र ! उसले हरेस खाएर भन्यो 	It’s all about slaughtering, what more is there? he said in frustration.
बढी के हो र भन्नुहुन्छ तपाईं पनि काटाकाट गरिसकेपछि ।	You can say 'what more is there' only after you've done the killing.
मैलै भनें सत्ते, मैले काटेको छैनँ । काटे होलान् अरूले	Honestly, I’ve never killed anyone. Others may have.
काट्नै परेर होला कतिले बमले मारिसकेका दुश्मनका टाउमा	Some may have felt compelled to—cutting off the heads of enemies already killed by bombs.
काट्दै हिंडे । कति रूखपात काट्दै हिँडे, लेखाजोखा किन गरि	They kept chopping down trees as well. Why bother keeping count?
विशेषतः यो लडाईको गफ नै किन गरिरहने सित्तैँ !	And why waste time talking about war? There’s no point!
उसले झन् उत्सुक भएर सोध्यो तपाईं सधैँ यस्तो गफ चल्यो	He asked even more eagerly, Why do you always avoid this topic?
मलाई पन्छाउत खोज्नुहुन्छ किन ? भन्नुहोस् न, हामीलाई सुन्न	Why do you always try to dodge it? Tell us, we want to hear about it.
इच्छा लाग्छ ।	We’re genuinely curious.
बोतलमा बाँकी रहेको रक्सी दुबैलाई बराबर भाग लगाएपछि मैले	After splitting the remaining liquor equally, I said,
भनेँ भनिहालेँ नि, मेरो कुनै खास इतिहास बाँधिएको छैन लडाइँसँग,	I already told you, there’s nothing special in my war history.
साधारण बिताएर आएको छु । लडाइँमा जानुअघि आफैँलाई एउटा	I’ve lived an ordinary life. Before going to war, you must turn yourself into a machine.
मेसिनमा परिणत गर्नुपर्छ, कसैको माया गर्नु हुँदैन, त्यति भए पुग्छ ।	You mustn’t love anyone. That’s enough.
उसले गिलास रित्त्याउँदै हाँसेर भन्यो त्यो त मलाई पनि	He emptied his glass and laughed, Even I know that much.
धाहा छ, मलाई त्यत्ति केटाकेटी नसम्झनुस् न ।	Don’t treat me like a child.
सिपाहीहरूले भनेका मैले केही गम्भीर भएर भनेँ मायालु	According to the soldiers, I said more seriously, those who have lovers think of them constantly.
हुनेलाई मायालुको र स्वास्नीको धेरै सम्झना आउँछ रे ।	A man with a lover or wife thinks of her all the time.
अमेरिकन र गोरा सिपाहीहरू तकिया अँगालेर सुत्छन् रे ।	The American and British soldiers, they say, sleep hugging their pillows.
हाम्रा लाहरेहरू रङ्ग उडिसकेको मायालुको तस्वीर हेरेर चित्त बुझाउँछन् ।	Our boys are satisfied with looking at faded pictures of their sweethearts.
प्रेमलहरी सबैसँग हुन्छ । अकवर-वीरबल, तोता-मैना र कोकशास्त्रको	Everyone carries a copy of Prem Lahari. They also pass around Akbar-Birbal, Tota-Maina, and Koka Shastra.
किताव सर्कुलर गरेर पढ्छन्, भन्नुहोस् त युद्धले मानिसलाई कतिसम्म	They pass these books around. Tell me, do you see how war turns men into beasts?
बोका बनाउँदो रहेछ । गौरा सिपाहीहरू त स्वास्तीमान्छेको छायासम्म	It turns them into goats. British soldiers can’t even look at a woman without getting overly excited.
देख्न हुँदैन, त्यसै मात्तिन्छन् । तर मेरी मायालु थिइन ।	But I never had a sweetheart.
मैले जोडसँग आफ्नो गिलास अँठ्याएँ, सिलवरको भए कुच्चिइसक्थ्यो तर काँचले	I gripped my glass tightly. If it had been silver, it would have crumpled, but glass holds its shape.
काँच फुटेन ।	The glass didn’t break.
उसले चित्त नबुझाएर भन्यो त्यो त लडाइँको साधारण कुरो, सिपाही	Still dissatisfied, he said, That’s just common war talk, typical soldier mentality.
हरूको साधारण मनोवृत्ति । चाहनुभयौ भने त तपाइँको आफ्नो युद्धदर्शन	If you wanted, you could share your own philosophy of war.
भन्नसम्नुहुन्छ, दुश्मनहरूसँग जम्काभेट भएका गफहरू हाँक्न सक्नुहुन्छ ।	You could talk about your encounters with the enemy.
मलाई लाज लाग्यो आफ्नो कुराले स्तर नपाएकोमा ।	I felt ashamed that my words didn’t meet his expectations.
तै पचाउँदै भनेँ, तपाईं साधारण तर कुरा त प्रमुख नै हो ।	But swallowing my shame, I said, You may think it's ordinary, but it’s important.
सिपाहीबाट तपाईं कस्तो गफको आशा राख्नुहुन्छ शिवराजजी, सिपाही	What kind of talk do you expect from a soldier, Shivrajji?
जहिले पनि उत्ताउलो हुन्छ; अब खाने काम गरौं ।	Soldiers are always rough. Let’s just eat now.
मैले पन्छाउँदैछु यो उसले राम्रैसँग बुझ्यो । हामी भान्छाघरतिर गयौं ।	He clearly understood that I was avoiding the topic. We went to the kitchen.
भात खाइसकेर आउँदासम्म हाम्रो केही खास कुरा भएन ।	After eating, we didn’t discuss anything special.
चुरोट तान्दै उसले घडी हेरेर तर्सदै भन्यो, लौ बित्यो, अब जानुपर्छ।	While puffing on his cigarette, he glanced at his watch anxiously and said that time was up and he had to go.
बरी सुतेकी हुन्न, थाहा पायो भने ठाडै कराउँदै आउँछे, बिताउँछे।	Bari won’t be asleep yet. If she finds out, she’ll come storming in.
मुजुरा नि? मैले नभन्ने कोसिस गर्दा गर्दै अकस्मात्‌ फुस्क्यो।	And Mujura? The words slipped out unintentionally, despite my attempt to avoid them.
अप्ठ्यारो लागेर म एकछिन घोप्टिएँ।	Feeling awkward, I looked down for a moment.
उसले स्वाभाविक स्वरमा भन्यो, उ सुतिसकेकी छे। बरी मध्यरातमात्र सुत्छे।	He replied casually that Mujura was asleep by now and Bari only goes to sleep around midnight.
तर मुजुरा अरूलाई विरोध गर्ने स्वभावको होइन। मैले रक्सी खाएकोमा उसलाई गुनासो हुँदैन।	But Mujura isn’t the type to oppose others. She doesn’t complain if I drink.
तर बरीलाई वास्ता छैन, रिसाउँछे।	But Bari doesn’t care what people think; she gets angry.
रिसाउँदा झन् म उसलाई माया गर्न थाल्छु।	When she gets angry, it makes me care for her even more.
किन? एउटा प्रश्न मेरो मनमा आयो र तुरुन्तै हरायो।	Why? The question crossed my mind and quickly vanished.
मुजुरा केही नबोल्ने सुनेर मलाई रमाइलो लाग्यो।	It made me happy to hear that Mujura never argued.
उसलाई रोक्न सकिनँ। ढोकासम्म पुर्याएँ र फर्के।	I couldn’t stop him. I walked him to the door and returned.
रक्स्याहाहरू भेट्ने ठाउँ कोठा अस्तव्यस्त भइसकेको थियो।	The room, a meeting place for drunkards, was a mess.
वास्ता नगरी म खाटतिर गएँ, ठीक शिवराज बसेको कुर्सीमुनि एउटा कागजको टुक्रा देखेँ।	Ignoring the mess, I went to my bed and noticed a piece of paper under Shiva Raj’s chair.
जिज्ञासावश उठाएर हेरें, त्यो एउटा उल्टो परेको तस्बीर रहेछ।	Curious, I picked it up and saw that it was a photograph, face down.
छर्लङ्ग अक्षरमा लेखिएको थियो "सकमबरी"।	Written clearly on the back was "Sakambari."
साच्चै, रक्स्याहाहरू यस्तै हुन्छन्, के खस्यो पत्तो पाउँदैनन्।	Indeed, that’s how drunkards are—they don’t notice what or where they drop things.
शिवराजले यहीँ खसालेछ क्यारे।	Shiva Raj must have dropped it here.
अरूको घरमा यो छुटेको भए ठूलो बबाल हुन्थ्यो, तर यहाँ त ठीकै छ।	If it had been lost in someone else’s house, it would have caused a fuss, but here, it was fine.
तस्बिर पल्टाएर हेर्न आँट गरिनँ।	I didn’t have the nerve to turn the picture over and look.
हेर्नु पनि परेन, किनभने सकमबरीलाई त देखेकै थिएँ।	There was no need to look; I had already seen Sakambari.
मैले तस्बिरलाई सुरक्षितसँग कोटको खल्तीमा राखें, भोलि गएर फिर्ता दिनुपर्छ।	I carefully placed the photo in my coat pocket, intending to return it tomorrow.
दश बजेर नाघिसकेको थियो।	It was already past ten.
म झ्यालमा बसेर शिवराजसँग भएका कुराहरू सम्झिन थालेँ।	Sitting by the window, I began to reflect on the conversation I had with Shiva Raj.
मेरो अरू काम थिएन र केलाउनुपर्ने कुनै समस्या पनि थिएन।	I had no other work and no problems to tackle.
रित्तो मान्छे, तकियामा टाउको राखेपछि बिहानसम्म बोल्नै पर्दैनथ्यो।	As an empty man, once my head hit the pillow, I wouldn’t have to say a word until morning.
सोच्नुपर्ने कुनै कुरा थिएन, जीवन सजिलै बगिरहेको थियो।	There was nothing to think about; my life was flowing smoothly.
म छुटकारा पाइसकेको थिएँ।	I had found relief.
यो घरमा केटीहरू अनौठा-अनौठा छन् भनेर सोच्दै म सामुन्नेको चौकमा आइपुगिसकेको थिएँ।	Thinking that the girls in this house are remarkable, I reached the front yard.
पहिलो पटक आएपछि पन्ध दिनको लामो पर्खाइ भयो, म्याद पूरा गरेर दोस्रो पटक आएको थिएँ, तर त्यो आउनुमा मेरो कुनै खास रुचि थिएन।	After the first visit, which was a long wait of fifteen days, I came for the second time, but I had no special interest in coming.
रुचि हुनु वा रुचि देखाउने उमेर मेरो छैन, यो मलाई राम्ररी थाहा छ।	I know very well that I am not at an age to feel or show interest.
एक नहेरेको तस्बीर फर्काउनु थियो शिवराजजीलाई, बढी केही थिएन।	I had to return an overlooked picture to Shiva Raj; that was all.
घरको वातावरण उस्तै थियो। मोटर त्यहीँ थियो।	The atmosphere of the house was the same. The car was there.
त्यो एक चोक्टो चौरमा नीलो फूलका केही पातलिँदै गरेका रक्ग मात्र देखिए। मुजुराको खुट्टा मात्र देखिएन।	On that one patch of lawn, there were blue flowers that had slightly faded. Only Mujura's legs were not in sight.
